"Name","Season","GamesPlayed","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Transition Take Fouls","Transition Take Fouls Drawn","Defensive 3 Seconds Violations","FoulsDrawn"
"IND","2017-18",82,1544,704,92,95,77,61,86,54,54,82,1,0,0,12,1512
"PHI","2017-18",82,1811,898,113,73,85,62,71,45,26,19,1,0,0,14,1666
"PHX","2017-18",82,1807,802,100,117,120,56,81,28,61,94,5,0,0,21,1715
"POR","2017-18",82,1599,807,96,117,91,44,103,22,33,39,1,0,0,11,1563
"SAC","2017-18",82,1639,780,75,90,78,38,83,33,31,21,2,0,0,10,1420
"SAS","2017-18",82,1408,693,84,99,51,30,104,39,40,35,2,0,0,7,1616
"OKC","2017-18",82,1653,697,112,124,111,37,92,40,59,39,2,0,0,20,1747
"TOR","2017-18",82,1783,789,104,81,81,75,57,85,56,69,1,0,0,14,1630
"UTA","2017-18",82,1608,730,92,88,73,45,114,27,39,36,3,0,0,13,1681
"MEM","2017-18",82,1900,866,105,97,78,58,108,66,18,22,1,0,0,10,1674
"WAS","2017-18",82,1746,820,74,88,128,34,88,67,33,24,2,0,0,14,1635
"DET","2017-18",82,1508,657,97,71,81,38,59,63,26,17,1,0,0,21,1508
"CHA","2017-18",82,1409,655,86,102,101,31,120,46,14,13,3,0,0,17,1837
"CLE","2017-18",82,1524,714,100,110,90,37,91,51,36,35,0,0,0,9,1694
"NOP","2017-18",82,1570,732,80,111,64,58,73,59,29,34,1,0,0,8,1667
"DAL","2017-18",82,1578,737,87,95,55,26,117,69,85,84,0,0,0,10,1604
"DEN","2017-18",82,1533,715,80,79,58,54,64,63,67,49,3,0,0,14,1699
"GSW","2017-18",82,1607,796,82,85,71,58,44,43,17,15,2,0,0,15,1516
"HOU","2017-18",82,1597,693,120,85,95,48,52,41,35,51,1,0,0,17,1670
"GSW","2011-12",66,1410,719,72,61,53,53,50,34,21,28,2,0,0,18,1094
"HOU","2011-12",66,1347,621,114,84,80,46,83,56,57,40,0,0,0,24,1214
"LAC","2011-12",66,1399,623,129,139,94,37,76,26,24,27,3,0,0,30,1399
"LAL","2011-12",66,1107,515,92,74,74,17,75,13,30,31,1,0,0,24,1329
"MIA","2011-12",66,1282,628,91,55,84,34,106,49,24,14,2,0,0,23,1356
"MIA","2021-22",82,1679,803,100,96,143,36,110,107,0,0,0,0,0,16,1684
"NYK","2021-22",82,1672,778,93,90,104,37,95,27,0,0,1,0,0,11,1670
"POR","2021-22",82,1728,846,95,88,103,27,79,39,0,0,5,0,0,9,1587
"ATL","2021-22",82,1534,695,101,80,69,16,87,47,0,0,3,0,0,8,1665
